result
"AnalyzerOutput(output=others, probas={others: 0.798, joy: 0.192, surprise: 0.003, disgust: 0.002, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.846, joy: 0.145, surprise: 0.003, sadness: 0.002, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.031, surprise: 0.005, disgust: 0.002, fear: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.948, joy: 0.040, fear: 0.005, surprise: 0.003, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.725, joy: 0.263, surprise: 0.005, sadness: 0.002, fear: 0.002, anger: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.008, disgust: 0.004, sadness: 0.002, fear: 0.002, anger: 0.002, surprise: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.032, sadness: 0.003, surprise: 0.003, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.750, others: 0.235, sadness: 0.005, surprise: 0.005, fear: 0.002, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.009, disgust: 0.006, surprise: 0.003, fear: 0.003, anger: 0.001, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.945, joy: 0.046, surprise: 0.003, fear: 0.002, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.951, joy: 0.030, sadness: 0.010, disgust: 0.004, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.655, joy: 0.334, surprise: 0.004, fear: 0.002, disgust: 0.002, anger: 0.002, sadness: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.890, others: 0.084, fear: 0.008, joy: 0.006, disgust: 0.005, surprise: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.950, joy: 0.036, surprise: 0.004, sadness: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.967, joy: 0.013, fear: 0.009, surprise: 0.004, sadness: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.686, joy: 0.304, surprise: 0.004, sadness: 0.002, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.575, others: 0.412, sadness: 0.005, surprise: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.921, joy: 0.063, sadness: 0.007, fear: 0.003, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.967, joy: 0.023, surprise: 0.003, fear: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.954, joy: 0.025, sadness: 0.011, disgust: 0.004, fear: 0.003, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.664, disgust: 0.311, sadness: 0.007, joy: 0.006, anger: 0.005, fear: 0.005, surprise: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.845, sadness: 0.081, fear: 0.032, joy: 0.021, surprise: 0.013, disgust: 0.006, anger: 0.002})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.468, others: 0.467, joy: 0.042, disgust: 0.008, fear: 0.007, surprise: 0.004, anger: 0.003})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.017, fear: 0.003, disgust: 0.003, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.965, joy: 0.025, disgust: 0.003, fear: 0.002, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.904, joy: 0.042, sadness: 0.041, surprise: 0.004, fear: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.961, joy: 0.028, sadness: 0.003, disgust: 0.002, surprise: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.918, joy: 0.068, sadness: 0.004, fear: 0.003, surprise: 0.003, disgust: 0.002, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.641, others: 0.345, surprise: 0.005, sadness: 0.003, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.862, sadness: 0.092, joy: 0.029, disgust: 0.007, fear: 0.006, surprise: 0.003, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.008, disgust: 0.006, sadness: 0.002, fear: 0.002, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.960, others: 0.032, surprise: 0.003, anger: 0.002, fear: 0.001, sadness: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.952, others: 0.039, anger: 0.002, sadness: 0.002, fear: 0.002, surprise: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.859, joy: 0.123, surprise: 0.011, disgust: 0.002, fear: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.961, joy: 0.027, surprise: 0.004, sadness: 0.003, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.970, joy: 0.015, sadness: 0.006, surprise: 0.003, disgust: 0.003, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.894, others: 0.084, joy: 0.006, fear: 0.006, disgust: 0.005, surprise: 0.003, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.980, joy: 0.009, disgust: 0.003, fear: 0.003, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.862, others: 0.119, sadness: 0.010, surprise: 0.005, anger: 0.002, fear: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.836, sadness: 0.084, fear: 0.036, joy: 0.034, surprise: 0.005, disgust: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.949, joy: 0.023, sadness: 0.015, disgust: 0.004, fear: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.942, joy: 0.046, surprise: 0.006, sadness: 0.002, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.012, disgust: 0.003, surprise: 0.003, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.012, disgust: 0.003, sadness: 0.002, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.964, joy: 0.022, sadness: 0.004, surprise: 0.004, disgust: 0.003, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.014, fear: 0.004, surprise: 0.003, disgust: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.960, joy: 0.029, fear: 0.004, surprise: 0.002, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.747, joy: 0.239, surprise: 0.005, sadness: 0.004, fear: 0.002, disgust: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.975, joy: 0.012, disgust: 0.004, sadness: 0.003, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.012, sadness: 0.005, disgust: 0.004, fear: 0.004, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.622, joy: 0.366, sadness: 0.003, surprise: 0.003, disgust: 0.003, fear: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.953, joy: 0.026, sadness: 0.009, surprise: 0.005, fear: 0.004, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.583, others: 0.405, surprise: 0.004, sadness: 0.004, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.010, disgust: 0.005, sadness: 0.003, fear: 0.002, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.970, joy: 0.015, fear: 0.004, sadness: 0.004, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.801, joy: 0.184, sadness: 0.006, fear: 0.002, surprise: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.944, fear: 0.016, sadness: 0.016, joy: 0.014, surprise: 0.005, disgust: 0.004, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.620, joy: 0.365, surprise: 0.005, sadness: 0.004, anger: 0.002, disgust: 0.002, fear: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.908, sadness: 0.034, fear: 0.028, joy: 0.016, surprise: 0.007, disgust: 0.006, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.949, joy: 0.041, surprise: 0.004, fear: 0.002, disgust: 0.002, anger: 0.001, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.946, joy: 0.043, surprise: 0.004, sadness: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.964, joy: 0.021, fear: 0.004, sadness: 0.004, surprise: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.548, joy: 0.436, surprise: 0.007, sadness: 0.005, anger: 0.002, disgust: 0.002, fear: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.900, joy: 0.086, sadness: 0.004, surprise: 0.004, fear: 0.002, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.031, sadness: 0.003, disgust: 0.003, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.011, disgust: 0.004, fear: 0.003, surprise: 0.003, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.511, others: 0.476, surprise: 0.005, fear: 0.003, disgust: 0.002, anger: 0.002, sadness: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.017, surprise: 0.004, fear: 0.003, sadness: 0.003, disgust: 0.002, anger: 0.002})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.984, others: 0.007, disgust: 0.002, fear: 0.002, joy: 0.002, surprise: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.926, joy: 0.055, sadness: 0.009, surprise: 0.004, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.904, joy: 0.084, sadness: 0.004, surprise: 0.004, disgust: 0.002, anger: 0.002, fear: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.012, disgust: 0.003, anger: 0.002, surprise: 0.002, fear: 0.002, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.740, sadness: 0.171, joy: 0.069, fear: 0.008, surprise: 0.006, disgust: 0.004, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.907, others: 0.085, surprise: 0.002, anger: 0.002, sadness: 0.001, disgust: 0.001, fear: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.008, disgust: 0.005, fear: 0.004, sadness: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.626, others: 0.363, surprise: 0.003, sadness: 0.002, fear: 0.002, anger: 0.002, disgust: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.009, sadness: 0.006, disgust: 0.005, fear: 0.004, surprise: 0.004, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.008, disgust: 0.005, anger: 0.002, surprise: 0.002, fear: 0.002, sadness: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.933, joy: 0.056, surprise: 0.003, sadness: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.024, surprise: 0.003, disgust: 0.002, fear: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.964, joy: 0.025, disgust: 0.003, sadness: 0.003, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.976, joy: 0.009, disgust: 0.006, fear: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.837, others: 0.153, sadness: 0.003, surprise: 0.002, fear: 0.001, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.862, joy: 0.125, sadness: 0.004, surprise: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=fear, probas={fear: 0.516, others: 0.431, joy: 0.030, sadness: 0.012, disgust: 0.005, surprise: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.955, joy: 0.032, surprise: 0.004, sadness: 0.003, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.988, others: 0.004, fear: 0.002, disgust: 0.002, surprise: 0.002, joy: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.961, joy: 0.029, disgust: 0.003, anger: 0.002, sadness: 0.002, surprise: 0.001, fear: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.927, joy: 0.060, surprise: 0.004, sadness: 0.004, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.974, others: 0.015, joy: 0.004, fear: 0.003, disgust: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.013, sadness: 0.005, disgust: 0.004, surprise: 0.004, anger: 0.002, fear: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.967, joy: 0.020, surprise: 0.005, disgust: 0.004, fear: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.009, disgust: 0.005, surprise: 0.003, fear: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.924, joy: 0.041, sadness: 0.020, fear: 0.008, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.967, joy: 0.023, fear: 0.003, surprise: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.955, joy: 0.029, sadness: 0.006, surprise: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.952, joy: 0.036, sadness: 0.004, surprise: 0.003, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.974, joy: 0.012, sadness: 0.005, disgust: 0.003, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.010, fear: 0.004, disgust: 0.003, surprise: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.874, joy: 0.114, fear: 0.004, sadness: 0.002, surprise: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.010, disgust: 0.007, fear: 0.004, sadness: 0.004, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.964, joy: 0.024, sadness: 0.004, fear: 0.003, surprise: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.877, joy: 0.112, surprise: 0.004, sadness: 0.002, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.922, joy: 0.067, surprise: 0.005, fear: 0.002, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.963, joy: 0.025, sadness: 0.003, surprise: 0.003, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.013, sadness: 0.004, fear: 0.004, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.935, joy: 0.045, sadness: 0.007, surprise: 0.006, fear: 0.005, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.972, others: 0.016, fear: 0.004, disgust: 0.003, joy: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.938, sadness: 0.028, joy: 0.017, disgust: 0.007, fear: 0.005, surprise: 0.003, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.916, joy: 0.069, sadness: 0.006, surprise: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.956, joy: 0.026, fear: 0.011, surprise: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.959, joy: 0.018, sadness: 0.006, fear: 0.006, disgust: 0.005, surprise: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.853, sadness: 0.107, joy: 0.016, fear: 0.010, disgust: 0.007, surprise: 0.005, anger: 0.002})"
"AnalyzerOutput(output=fear, probas={fear: 0.987, others: 0.004, sadness: 0.002, surprise: 0.002, disgust: 0.002, anger: 0.001, joy: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.668, others: 0.321, surprise: 0.003, anger: 0.002, sadness: 0.002, disgust: 0.002, fear: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.018, surprise: 0.003, sadness: 0.003, disgust: 0.003, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.877, others: 0.114, surprise: 0.003, anger: 0.002, disgust: 0.002, sadness: 0.001, fear: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.012, sadness: 0.006, surprise: 0.004, disgust: 0.004, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.976, joy: 0.013, surprise: 0.003, disgust: 0.003, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.018, surprise: 0.004, fear: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.958, joy: 0.027, disgust: 0.004, fear: 0.004, surprise: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.011, disgust: 0.004, fear: 0.003, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.945, others: 0.047, sadness: 0.002, surprise: 0.002, fear: 0.001, anger: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.022, fear: 0.003, surprise: 0.003, sadness: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.820, sadness: 0.088, fear: 0.056, joy: 0.025, disgust: 0.005, surprise: 0.004, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.541, others: 0.446, surprise: 0.005, fear: 0.003, sadness: 0.002, anger: 0.002, disgust: 0.002})"
"AnalyzerOutput(output=fear, probas={fear: 0.987, others: 0.004, sadness: 0.003, joy: 0.002, surprise: 0.001, anger: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.018, surprise: 0.004, sadness: 0.003, disgust: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.955, joy: 0.025, fear: 0.010, sadness: 0.004, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.829, fear: 0.130, others: 0.026, disgust: 0.006, surprise: 0.004, joy: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.955, joy: 0.021, sadness: 0.012, fear: 0.004, disgust: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, disgust: 0.008, joy: 0.008, surprise: 0.005, fear: 0.003, sadness: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.017, fear: 0.003, surprise: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.751, sadness: 0.157, fear: 0.052, joy: 0.021, disgust: 0.010, surprise: 0.007, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.960, joy: 0.030, fear: 0.003, surprise: 0.002, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.690, joy: 0.206, sadness: 0.089, fear: 0.004, surprise: 0.004, disgust: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.012, disgust: 0.003, fear: 0.002, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.528, others: 0.452, sadness: 0.009, surprise: 0.005, fear: 0.003, anger: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.959, joy: 0.014, sadness: 0.012, disgust: 0.005, fear: 0.004, surprise: 0.004, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.960, joy: 0.016, sadness: 0.009, surprise: 0.007, fear: 0.004, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.980, joy: 0.008, disgust: 0.005, fear: 0.002, sadness: 0.002, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.845, sadness: 0.112, joy: 0.017, fear: 0.010, disgust: 0.008, surprise: 0.006, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.949, joy: 0.040, surprise: 0.004, fear: 0.002, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.939, others: 0.044, joy: 0.006, disgust: 0.004, fear: 0.003, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.582, others: 0.367, sadness: 0.040, surprise: 0.003, fear: 0.003, disgust: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.010, disgust: 0.008, sadness: 0.004, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.974, joy: 0.015, disgust: 0.003, fear: 0.002, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.755, joy: 0.229, sadness: 0.006, surprise: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.961, joy: 0.028, sadness: 0.002, surprise: 0.002, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.965, disgust: 0.020, joy: 0.005, anger: 0.004, surprise: 0.002, sadness: 0.002, fear: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.955, joy: 0.034, surprise: 0.004, sadness: 0.002, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.012, sadness: 0.005, disgust: 0.004, fear: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.021, sadness: 0.003, disgust: 0.002, surprise: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.019, fear: 0.003, disgust: 0.002, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.784, fear: 0.178, joy: 0.015, surprise: 0.010, sadness: 0.007, disgust: 0.005, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.011, disgust: 0.003, surprise: 0.003, fear: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.008, disgust: 0.005, surprise: 0.003, anger: 0.003, fear: 0.002, sadness: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.024, sadness: 0.009, fear: 0.004, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.012, surprise: 0.004, fear: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.866, others: 0.124, sadness: 0.004, surprise: 0.002, anger: 0.002, fear: 0.002, disgust: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.949, joy: 0.029, sadness: 0.010, fear: 0.004, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.013, disgust: 0.005, sadness: 0.004, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.016, fear: 0.004, surprise: 0.003, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.935, joy: 0.051, surprise: 0.006, sadness: 0.003, fear: 0.002, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.773, sadness: 0.169, joy: 0.039, fear: 0.006, disgust: 0.006, surprise: 0.005, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.639, others: 0.350, surprise: 0.004, sadness: 0.002, fear: 0.002, anger: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.961, joy: 0.024, sadness: 0.005, surprise: 0.004, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.977, others: 0.013, surprise: 0.002, anger: 0.002, sadness: 0.002, fear: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.888, joy: 0.101, surprise: 0.005, fear: 0.002, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.930, joy: 0.059, fear: 0.003, sadness: 0.003, surprise: 0.003, disgust: 0.002, anger: 0.001})"
